iter	Passed	Remaining
0	162	161935
1	164	81944
2	166	55188
3	167	41778
4	169	33726
5	171	28363
6	172	24535
7	174	21652
8	176	19411
9	177	17615
10	179	16149
11	181	14925
12	183	13895
13	184	13000
14	186	12230
15	187	11534
16	188	10924
17	190	10376
18	191	9878
19	192	9421
20	193	9008
21	194	8634
22	195	8291
23	196	7973
24	196	7678
25	197	7408
26	198	7153
27	199	6913
28	199	6690
29	200	6480
30	201	6288
31	201	6107
32	202	5936
33	203	5777
34	204	5628
35	204	5484
36	205	5349
37	206	5221
38	207	5100
39	207	4985
40	208	4876
41	209	4773
42	209	4673
43	210	4577
44	211	4486
45	212	4397
46	212	4314
47	213	4235
48	214	4162
49	215	4091
50	216	4019
51	216	3952
52	217	3885
53	218	3821
54	218	3760
55	219	3699
56	220	3641
57	220	3585
58	221	3530
59	221	3477
60	222	3428
61	223	3380
62	224	3331
63	224	3286
64	225	3242
65	226	3199
66	226	3158
67	227	3118
68	228	3080
69	228	3040
70	229	3003
71	230	2966
72	230	2932
73	231	2898
74	232	2864
75	232	2831
76	233	2800
77	234	2768
78	234	2738
79	235	2709
80	236	2678
81	236	2649
82	237	2622
83	238	2596
84	238	2570
85	239	2545
86	240	2520
87	240	2496
88	241	2473
89	242	2449
90	242	2426
91	243	2406
92	244	2385
93	245	2365
94	246	2344
95	246	2325
96	247	2307
97	248	2287
98	249	2269
99	250	2250
100	250	2233
101	251	2215
102	252	2197
103	253	2180
104	253	2162
105	254	2145
106	255	2128
107	255	2112
108	256	2096
109	257	2080
110	257	2064
111	258	2049
112	259	2033
113	259	2018
114	260	2003
115	261	1989
116	261	1974
117	262	1961
118	262	1946
119	263	1932
120	264	1919
121	264	1905
122	265	1892
123	266	1879
124	266	1867
125	267	1854
126	268	1842
127	268	1830
128	269	1818
129	270	1807
130	271	1798
131	271	1788
132	272	1778
133	273	1767
134	274	1756
135	274	1745
136	275	1735
137	276	1726
138	277	1718
139	277	1707
140	278	1696
141	279	1687
142	279	1677
143	280	1667
144	281	1657
145	281	1647
146	282	1637
147	282	1628
148	283	1618
149	284	1609
150	284	1600
151	285	1591
152	285	1582
153	286	1573
154	286	1563
155	287	1555
156	288	1547
157	288	1539
158	289	1530
159	289	1522
160	290	1514
161	291	1506
162	291	1498
163	292	1491
164	293	1483
165	293	1476
166	294	1468
167	295	1461
168	295	1454
169	296	1446
170	296	1439
171	297	1432
172	298	1425
173	298	1417
174	299	1410
175	299	1403
176	300	1395
177	300	1388
178	301	1382
179	301	1375
180	302	1369
181	303	1362
182	303	1356
183	304	1350
184	305	1343
185	305	1337
186	306	1331
187	306	1325
188	307	1319
189	308	1313
190	308	1307
191	309	1302
192	310	1296
193	310	1291
194	311	1285
195	312	1280
196	312	1274
197	313	1269
198	314	1264
199	314	1258
200	315	1253
201	315	1247
202	316	1242
203	317	1237
204	317	1232
205	318	1227
206	319	1222
207	319	1217
208	320	1212
209	321	1207
210	321	1202
211	322	1198
212	322	1193
213	323	1188
214	324	1183
215	324	1179
216	325	1174
217	326	1170
218	326	1165
219	327	1160
220	328	1156
221	328	1151
222	329	1147
223	329	1142
224	330	1138
225	331	1134
226	331	1129
227	332	1125
228	333	1121
229	334	1118
230	334	1114
231	335	1110
232	336	1106
233	336	1102
234	337	1098
235	338	1094
236	338	1090
237	339	1086
238	339	1082
239	340	1078
240	341	1074
241	341	1069
242	342	1065
243	342	1062
244	343	1058
245	344	1054
246	344	1050
247	345	1046
248	345	1042
249	346	1039
250	347	1035
251	347	1032
252	348	1028
253	349	1025
254	349	1021
255	350	1017
256	350	1014
257	351	1011
258	352	1007
259	352	1004
260	353	1000
261	354	997
262	354	993
263	355	990
264	355	986
265	356	983
266	356	979
267	357	976
268	358	973
269	358	969
270	359	966
271	359	962
272	360	959
273	360	956
274	361	953
275	362	949
276	362	946
277	363	943
278	363	940
279	364	937
280	365	934
281	365	931
282	366	928
283	367	925
284	367	922
285	368	919
286	369	916
287	369	914
288	370	911
289	371	908
290	371	905
291	372	902
292	372	899
293	373	897
294	374	894
295	374	891
296	375	888
297	376	886
298	376	883
299	377	880
300	378	877
301	378	875
302	379	872
303	380	870
304	380	867
305	381	864
306	381	862
307	382	859
308	383	856
309	383	854
310	384	851
311	385	849
312	385	846
313	386	843
314	386	841
315	387	838
316	388	835
317	388	833
318	389	830
319	389	828
320	390	826
321	391	823
322	391	821
323	392	819
324	393	817
325	394	815
326	394	812
327	395	810
328	396	807
329	396	805
330	397	803
331	398	800
332	398	798
333	399	796
334	399	793
335	400	791
336	401	789
337	401	787
338	402	784
339	403	782
340	403	780
341	404	778
342	405	775
343	405	773
344	406	771
345	406	769
346	407	766
347	408	764
348	408	762
349	409	760
350	409	757
351	410	755
352	411	753
353	411	751
354	412	749
355	412	746
356	413	744
357	413	742
358	414	740
359	415	738
360	415	735
361	416	733
362	416	731
363	417	729
364	418	727
365	418	725
366	419	723
367	419	721
368	420	719
369	421	717
370	421	715
371	422	713
372	423	711
373	424	709
374	424	707
375	425	705
376	425	703
377	426	701
378	427	700
379	427	698
380	428	696
381	429	694
382	429	692
383	430	690
384	431	688
385	431	686
386	432	684
387	432	682
388	433	680
389	434	679
390	434	677
391	435	675
392	436	673
393	436	671
394	437	669
395	437	668
396	438	666
397	439	664
398	439	662
399	440	660
400	441	658
401	441	656
402	442	655
403	442	653
404	443	651
405	444	649
406	444	648
407	445	646
408	446	644
409	446	642
410	447	640
411	447	639
412	448	637
413	448	635
414	449	633
415	449	631
416	450	629
417	451	628
418	451	626
419	452	624
420	453	623
421	453	621
422	454	619
423	454	617
424	455	616
425	455	614
426	456	612
427	457	611
428	457	609
429	458	607
430	459	606
431	459	604
432	460	602
433	460	601
434	461	599
435	462	597
436	462	596
437	463	594
438	464	592
439	464	591
440	465	589
441	465	588
442	466	586
443	467	585
444	468	583
445	468	582
446	469	580
447	470	579
448	470	577
449	471	576
450	472	574
451	472	573
452	473	571
453	474	570
454	474	568
455	475	566
456	475	565
457	476	563
458	477	562
459	477	560
460	478	559
461	478	557
462	479	556
463	480	554
464	480	553
465	481	551
466	481	550
467	482	548
468	483	547
469	483	545
470	484	544
471	485	542
472	485	541
473	486	539
474	486	537
475	487	536
476	487	534
477	488	533
478	489	531
479	489	530
480	490	529
481	491	527
482	491	526
483	492	524
484	492	523
485	493	522
